Date,Soil Moisture (10 cm) (%),Soil Moisture (20 cm) (%),Soil Moisture (30 cm) (%),Plant Age (years),Temperature (°C),Humidity (%),Rainfall (mm),Rain Status (0/1),Soil Type,Soil Type (Numeric),Coconut Count
1930-05-31,18.61237599675179,21.928536270578462,24.022263674065183,5,28.409730457693144,69.64134774072589,11.590491565706932,1,Red Yellow Podzolic,4,341.0
1930-06-30,37.04636721414183,37.597259159687134,42.372252799404315,4,27.407402433534177,61.71389962052036,7.587826914556986,1,Red Yellow Podzolic,4,306.0
1930-07-31,20.084513149806675,34.462232308772045,59.329526910545056,5,26.011868482155528,70.99047457920119,1.148617608645744,0,Red Yellow Podzolic,4,286.0
1930-08-31,34.166427400492665,22.230950470960618,36.75653698562661,9,30.963181636939925,64.92265409262639,-1.0041432579794727,0,Red Yellow Podzolic,4,257.0
1930-09-30,18.10191279575454,24.559165286757956,28.16358077242485,2,26.94568485394483,73.94642523186333,-0.5174269841834019,0,Red Yellow Podzolic,4,249.0
1930-10-31,26.29254338023444,,30.054702533132986,2,30.153033135879838,79.67392769751466,-1.311680414001881,0,Red Yellow Podzolic,4,249.0
1930-11-30,37.357030818824896,46.82533498228529,52.88112718593933,8,33.062942530539146,78.50756445805484,8.280346781560986,1,Alluvial,5,293.0
1930-12-31,29.1394084906391,20.629695834947128,49.40104417102728,2,31.448096004486732,65.98102211614552,11.927662977359226,1,Alluvial,5,304.0
1931-01-31,16.801062494973536,25.36957824320736,29.082435084010516,2,28.656468070511895,65.82437365828444,9.873387660281516,1,Alluvial,5,318.0
1931-02-28,36.85099688240515,29.564295949179318,51.36071691939879,8,28.642853940577954,73.66833733412756,1.9221652463644292,0,Alluvial,5,353.0
1931-03-31,30.477435854294246,27.74722138808346,43.38376251838663,1,27.753386825426542,66.58016246411874,-0.24437300952609525,0,Alluvial,5,341.0
1931-04-30,32.23220314352433,39.07628032782488,45.91891303446824,3,30.626148234630122,78.35668986723711,14.133312393707763,1,Lateritic,1,340.0
1931-05-31,22.356296933642483,30.676309190802037,42.91752500726319,4,30.640963262812768,74.6369375949099,13.348166582709926,1,Sandy Loam,2,314.0
1931-06-30,35.4886211681488,30.24914187381881,57.12457346057756,5,34.10077706066661,64.52635513293593,-0.05115517543577016,0,Cinnamon Sand,3,274.0
1931-07-31,19.022238640812557,25.03062056685287,50.79075772984796,5,28.002059273338755,64.67468635454462,1.1545283076685806,0,Cinnamon Sand,3,264.0
1931-08-31,30.730686686875,39.53582413387503,34.002379075813856,4,33.19634926602645,68.99443080653606,2.2129869580737367,1,Cinnamon Sand,3,240.0
1931-09-30,18.459813765592976,30.58703268180197,56.38652132650613,8,35.01432880280664,70.23342025829376,-1.7156305137897112,0,Cinnamon Sand,3,261.0
1931-10-31,29.365233301184364,51.09744155147134,44.69992234824224,6,29.99591556675209,72.44507083117638,-0.046685463289221456,0,Cinnamon Sand,3,269.0
1931-11-30,21.073064661787253,46.793309789285836,48.05248801995814,1,27.251361899324582,75.9323186013211,4.441900520990117,1,Cinnamon Sand,3,264.0
1931-12-31,33.43207671275574,25.292868878830728,45.692422391485756,1,28.95157469192562,64.4841071233696,5.721819215102236,1,Cinnamon Sand,3,313.0
1932-01-31,27.81354090282462,27.77722180830534,34.43490254895287,3,30.87600541704311,70.02014036869346,-1.1186499238108953,0,Cinnamon Sand,3,351.0
1932-02-29,27.643394574846045,49.78264764497424,26.48088363340037,5,31.6936163535097,67.06728101971395,,1,Cinnamon Sand,3,333.0
1932-03-31,23.524057160464626,47.615622162944206,45.28924096526839,6,30.70346958345166,,-1.4778226078300376,0,Red Yellow Podzolic,4,358.0
1932-04-30,23.506632176234596,29.913290454311362,38.979404774263415,7,25.594430128332675,68.57165004852334,2.9600176098082307,1,Red Yellow Podzolic,4,330.0
