Date,Rainfall (mm),Temperature (°C),Humidity (%),Soil Moisture (%),Fertilizer Applied (kg),Pest Infestation Level,Irrigation Level (liters),Crop Variety,Coconut Yield (kg)
2018-01-31,54.96714153011233,27.45561727547482,86.71809144784231,49.64173960890049,215,3,297,Tall Variety,1862.4234897840156
2018-02-28,48.61735698828815,30.110922589709865,76.18479922318633,65.64643655814007,102,1,397,Hybrid Variety,1992.0691133120113
2018-03-31,56.47688538100692,30.313108037715452,86.62041984697397,23.802548959102555,202,5,594,Tall Variety,1499.2094654062148
2018-04-30,122.84544784612038,32.37569801834567,83.07458859791842,58.21902504375224,297,1,439,Tall Variety,2212.7990314795315
2018-05-31,96.48769937914996,30.863462925218947,81.6153899984702,50.870470682381715,299,1,343,Dwarf Variety,2125.0920756094556
2018-06-30,96.4879456457623,29.708306250206725,88.05838144420434,47.009926495341325,254,3,296,Hybrid Variety,2121.1231873839774
2018-07-31,247.37638446522175,27.398293387770604,90.15499761247976,50.91760776535502,236,1,400,Hybrid Variety,2086.332585314795
2018-08-31,223.02304187458725,27.852278184508936,89.65640059558099,30.124310853991073,161,2,323,Dwarf Variety,1839.334392398079
2018-09-30,185.91576842195144,24.522401160124314,80.80391238388681,47.80328112162488,264,2,386,Dwarf Variety,1721.6441287070008
2018-10-31,110.8512008717193,22.9422890710441,83.45393812074393,53.57112571511746,150,4,525,Hybrid Variety,1122.4567931859076
2018-11-30,90.73164614375075,25.358443296965433,86.65631715701782,64.77894044741517,271,5,548,Hybrid Variety,1497.8017542641794
2018-12-31,90.68540492859486,24.779156350028977,89.8777256356118,44.81729781726352,251,1,458,Dwarf Variety,1869.0343886867279
2019-01-31,104.83924543132068,28.208863595004754,82.60412881077355,41.91506397106812,158,1,347,Tall Variety,1642.634876480402
2019-02-28,61.73439510684404,28.04032987612022,84.07170511668092,44.982429564154636,217,3,451,Tall Variety,1694.6279165236367
2019-03-31,65.50164334973934,30.135915566239323,79.46832512996986,59.15402117702074,259,2,545,Dwarf Variety,2088.3440724389134
2019-04-30,88.75424941518054,32.19686123586912,79.01896687959665,53.287511096596845,195,5,346,Tall Variety,1418.7488039504146
2019-05-31,79.74337759331152,32.20256819513317,89.06262911197099,44.70239796232961,279,4,347,Dwarf Variety,1521.3085963177302
2019-06-30,106.28494665190547,30.171368281189977,91.78120014285412,55.13267433113356,212,2,551,Tall Variety,2115.204494023672
2019-07-31,81.83951848957578,27.88435171761176,84.63994939209833,50.9707754934804,161,4,398,Tall Variety,1732.2866961124575
2019-08-31,71.75392597329417,25.698896304410713,90.01766448946012,59.68644990532889,285,3,507,Hybrid Variety,2297.8114692031554
2019-09-30,129.31297537843108,23.057376394494824,86.80818012523817,42.979469061226474,151,3,327,Hybrid Variety,1370.268288977994
2019-10-31,95.4844739902693,23.280155791605292,81.77440122697438,46.723378534022316,111,1,238,Tall Variety,1947.1979125716978
2019-11-30,101.35056409375848,24.075259613902457,86.80697802754207,46.078918468678424,138,5,537,Tall Variety,1509.1234330743503
2019-12-31,71.50503627573087,27.057122226218908,92.69018283232984,35.364850518678814,229,4,559,Hybrid Variety,1637.9011263793857
