Date,Coconut Yield (kg)
2007-01-31,1783.516
2007-02-28,2243.735
2007-03-31,3331.041
2007-04-30,4291.937
2007-05-31,4507.773
2007-06-30,4712.98
2007-07-31,4925.333
2007-08-31,4297.272
2007-09-30,3301.505
2007-10-31,2710.366
2007-11-30,1874.423
2007-12-31,1666.662
2008-01-31,1990.526
2008-02-29,2089.671
2008-03-31,2806.48
2008-04-30,3797.239
2008-05-31,4314.299
2008-06-30,4184.808
2008-07-31,4149.652
2008-08-31,3275.268
2008-09-30,3145.937
2008-10-31,2156.314
2008-11-30,1537.868
2008-12-31,1000.0
2009-01-31,1374.412
2009-02-28,2135.597
2009-03-31,2496.765
2009-04-30,3648.443
2009-05-31,3999.281
2009-06-30,4281.854
2009-07-31,4156.081
2009-08-31,4082.518
2009-09-30,2744.786
2009-10-31,2051.999
2009-11-30,1880.287
2009-12-31,1355.831
2010-01-31,1905.203
2010-02-28,2100.736
2010-03-31,3084.862
2010-04-30,4207.185
2010-05-31,4766.53
2010-06-30,4944.081
2010-07-31,4684.069
2010-08-31,4078.642
2010-09-30,3330.841
2010-10-31,2586.546
2010-11-30,1977.698
2010-12-31,2121.232
2011-01-31,2305.607
2011-02-28,2379.642
2011-03-31,3262.88
2011-04-30,3933.654
2011-05-31,4479.094
2011-06-30,4822.335
2011-07-31,4675.335
2011-08-31,4100.735
2011-09-30,2789.463
2011-10-31,2190.166
2011-11-30,1575.338
2011-12-31,2400.077
2012-01-31,1560.591
2012-02-29,2059.365
2012-03-31,2891.974
2012-04-30,3341.462
2012-05-31,4407.633
2012-06-30,4761.44
2012-07-31,4376.886
2012-08-31,3883.521
2012-09-30,3288.644
2012-10-31,2269.256
2012-11-30,1792.275
2012-12-31,2057.607
2013-01-31,2055.844
2013-02-28,2913.554
2013-03-31,2933.031
2013-04-30,4373.848
2013-05-31,4851.937
2013-06-30,5000.006
2013-07-31,4978.599
2013-08-31,3840.731
2013-09-30,3769.369
2013-10-31,2747.809
2013-11-30,2570.859
2013-12-31,1956.154
2014-01-31,2133.126
2014-02-28,2638.558
2014-03-31,3662.268
2014-04-30,4225.661
2014-05-31,4278.881
2014-06-30,4952.653
2014-07-31,4634.21
2014-08-31,4131.115
2014-09-30,3149.549
2014-10-31,2368.244
2014-11-30,1783.37
2014-12-31,1297.489
2015-01-31,1836.828
2015-02-28,2358.256
2015-03-31,3175.752
2015-04-30,3860.5
2015-05-31,3961.667
2015-06-30,4556.063
2015-07-31,4464.565
2015-08-31,3745.477
2015-09-30,3272.453
2015-10-31,2610.694
2015-11-30,2415.221
2015-12-31,1934.916
2016-01-31,2295.837
2016-02-29,2858.169
2016-03-31,3346.794
2016-04-30,4389.352
2016-05-31,5024.995
2016-06-30,5702.456
2016-07-31,5008.682
2016-08-31,4544.481
2016-09-30,3752.757
2016-10-31,2813.249
2016-11-30,2620.523
2016-12-31,2360.194
2017-01-31,2538.681
2017-02-28,2655.807
2017-03-31,4046.37
2017-04-30,4140.796
2017-05-31,4999.71
2017-06-30,5438.091
2017-07-31,4548.224
2017-08-31,3956.43
2017-09-30,3377.511
2017-10-31,2397.825
2017-11-30,1709.772
2017-12-31,1753.905
2018-01-31,1715.319
2018-02-28,2571.443
2018-03-31,3107.408
2018-04-30,4265.725
2018-05-31,4369.369
2018-06-30,4725.78
2018-07-31,4794.177
2018-08-31,3817.088
2018-09-30,3398.388
2018-10-31,2978.919
2018-11-30,1804.967
2018-12-31,2086.927
2019-01-31,2369.111
2019-02-28,3090.486
2019-03-31,3533.701
2019-04-30,4406.515
2019-05-31,5276.123
2019-06-30,5419.205
2019-07-31,5230.094
2019-08-31,4627.91
2019-09-30,3762.144
2019-10-31,3166.894
2019-11-30,2657.62
2019-12-31,2216.937
2020-01-31,2979.897
2020-02-29,3320.342
2020-03-31,3550.863
2020-04-30,4668.706
2020-05-31,4840.703
2020-06-30,5307.417
2020-07-31,5139.867
2020-08-31,4134.348
2020-09-30,3702.443
2020-10-31,2722.775
2020-11-30,2286.786
2020-12-31,2269.551
2021-01-31,2142.534
2021-02-28,2586.886
2021-03-31,3437.415
2021-04-30,3924.941
2021-05-31,4745.326
2021-06-30,5008.423
2021-07-31,4934.053
2021-08-31,4352.6
2021-09-30,3468.628
2021-10-31,3086.192
2021-11-30,2189.741
2021-12-31,2744.034
2022-01-31,2590.233
2022-02-28,2944.199
2022-03-31,3719.997
2022-04-30,4951.812
2022-05-31,5281.68
2022-06-30,5652.608
2022-07-31,5380.673
2022-08-31,4823.478
2022-09-30,3748.618
2022-10-31,3151.082
2022-11-30,2702.539
2022-12-31,2681.087
2023-01-31,2687.937
2023-02-28,3110.937
2023-03-31,3973.182
2023-04-30,4836.868
2023-05-31,4894.64
2023-06-30,5330.745
2023-07-31,5058.848
2023-08-31,4222.869
2023-09-30,3676.551
2023-10-31,3023.261
2023-11-30,2434.378
2023-12-31,2250.953
