Date,Soil Moisture (10 cm) (%),Soil Moisture (20 cm) (%),Soil Moisture (30 cm) (%),Plant Age (years),Temperature (°C),Humidity (%),Rainfall (mm),Rain Status (0/1),Coconut Count
1970-09-30,38.863846060437496,47.555648083115535,26.644737535109112,4,34.76617637315009,67.54403564915278,0.0,0,250
1970-10-31,36.738341795374495,25.419726239339095,58.16901619724979,9,28.262205069809315,75.12384468213561,0.0,0,250
1970-11-30,26.11433752673571,42.27109811269345,32.99159383290138,4,27.999293974730662,69.48617329736861,0.0,0,268
1970-12-31,24.999575457339212,21.721755310648206,45.41575368644716,6,26.517429129530523,71.95616026803029,0.0,0,289
1971-01-31,32.52743968410675,32.32194630473036,42.66230507921022,2,34.33977974144519,62.62117261608581,0.0,0,341
1971-02-28,33.7582693954989,29.321459849343423,43.007136080921356,7,34.09930158159719,74.34523751731513,8.772844953750932,1,352
1971-03-31,36.60915666139933,33.70664215211801,41.62879277261424,4,32.569276593414415,73.78242180991516,12.968251681015627,1,349
1971-04-30,25.671458219877238,23.334526393499356,26.06455582827888,4,33.77749404862625,64.07989207218775,0.0,0,358
1971-05-31,16.365257580336728,49.15535903976454,42.941533543611996,1,29.69406841989258,77.15715567034978,0.0,0,325
1971-06-30,18.226781173272038,28.93578195170634,52.30168304640152,7,25.095433530672267,61.506028671969396,5.70020173121149,1,291
1971-07-31,15.178552044206127,33.70191778657521,36.523071536948805,7,33.9114009179351,69.20710746269654,10.674103018217414,1,290
1971-08-31,16.25438375799935,22.900836793627015,50.215985951196465,7,31.359107657097383,75.31736851325063,0.0,0,262
1971-09-30,15.48620125920203,25.66382083320333,39.50429392014733,8,29.283518005688464,60.542133046724665,0.0,0,250
1971-10-31,34.0472473594371,46.79913481364368,40.149397237001025,1,34.86687611617024,65.01746943432221,7.6938811169760335,1,254
1971-11-30,34.62974711057103,34.622189093024225,58.08800773651723,8,34.30998619712584,61.01014784765613,8.254840687308796,1,266
1971-12-31,21.56802358903257,34.167454968354754,36.35151076979383,9,27.790082903477966,68.09937174752378,0.0,0,286
1972-01-31,29.463545455088287,22.477164741058317,30.408229049668165,6,25.639009420483738,61.48669217772143,1.8189057394549877,1,334
1972-02-29,26.805660643905107,41.38647108034209,38.75182674617126,5,30.708539362787615,78.1919078222189,0.19213895734936046,1,362
1972-03-31,38.70923881972297,22.739772030006712,30.650669011152235,4,32.88200929866706,60.480824747328754,0.0,0,336
1972-04-30,33.71746196097888,26.3942635794181,55.351207405797325,6,30.382201018684754,70.6664709571921,0.0,0,348
1972-05-31,39.43641407959606,45.59951559999758,42.4416559902983,8,25.59050144458272,65.43328382727312,0.0,0,318
1972-06-30,17.26398669002301,40.040097522290424,29.66643857199013,8,33.17191050726641,60.27323370941219,0.0,0,295
1972-07-31,20.991144623938915,20.97167413327985,36.75452204637606,3,30.76488903139866,66.8413886931511,0.0,0,269
1972-08-31,20.609574494994888,35.13508772164507,34.12972360867311,7,30.11093821472398,68.91035628986322,0.0,0,250
1972-09-30,36.585789444734615,24.183507086154805,44.92222620952997,8,30.83105757279898,74.36028356254003,0.0,0,250
1972-10-31,26.447507378176788,31.834381725165727,55.34710638326315,8,34.66734227535108,79.16276239608993,0.0,0,250
1972-11-30,37.38889352184712,48.99866662688322,40.520368599261545,2,30.260940132515422,73.7553841273147,4.174770279087198,1,277
1972-12-31,16.291433927866027,21.478834782932495,38.52006968009408,1,32.47297557559857,60.95827735826668,14.232952879957335,1,299
1973-01-31,15.169913714652795,42.915695006006416,42.992867226816486,2,29.447127768583357,71.5308997990228,0.0,0,322
1973-02-28,32.032052763310844,41.47954080625172,46.25635458775731,7,29.96042726016583,60.15533284307937,7.43217095421646,1,334
1973-03-31,21.956691520469242,31.862548107271344,49.05164987640369,6,33.43812863658306,69.20658101285531,0.0,0,344
1973-04-30,38.832679189559315,22.1799676274347,31.9682696977574,1,31.202348489611204,70.89602170552197,0.0,0,350
1973-05-31,20.9687942771506,26.40628563471024,39.390051776799545,9,27.17452932217236,67.33357759405963,5.9246696599333175,1,330
1973-06-30,38.86665892197672,44.00412748256228,33.45806222867148,8,32.16606298960031,67.17322726052919,0.0,0,290
1973-07-31,17.287187959686467,42.398096139326114,25.440874044512544,6,31.87234343460683,66.2566839504844,1.0074925942042225,1,275
1973-08-31,15.245688814244696,32.275477623754654,36.52827442557265,6,28.040946359712837,76.23254028889707,0.0,0,264
1973-09-30,33.17546317535335,40.78760687674365,59.557896530927,9,26.04415369498118,71.37966388608245,0.0,0,250
1973-10-31,24.919733135364606,32.93631454592987,44.92542769471783,3,29.74434914147174,66.67553194139596,8.731769701548068,1,262
1973-11-30,29.232624610305052,38.95167254979752,43.15617464901483,8,25.27081133670051,68.98536316931273,4.517028827387882,1,268
1973-12-31,18.115334641958185,39.574278665216966,26.84519182170754,9,30.539794872200808,65.95909862633731,0.0,0,305
1974-01-31,22.603096236700903,38.63318974730609,35.56300195514043,6,31.284069576409898,68.77298036871969,0.0,0,317
1974-02-28,34.11940605312723,27.966727940372408,53.23707493770686,5,25.343768583517253,72.77926043946569,0.0,0,325
1974-03-31,22.316377441685198,36.362838506351395,29.669571743312247,2,27.203273934375826,62.064332977579994,0.0,0,333
1974-04-30,28.104906776582684,40.008062526716515,34.350042445472724,5,31.495560067569617,77.3599918379018,0.0,0,343
1974-05-31,16.881967916291842,23.371910815280387,26.725814548843864,7,26.35661467160378,65.20096080504868,5.837365030212529,1,327
1974-06-30,30.259401494542303,45.049213570488874,49.86230252493163,3,32.35920406373949,65.50197763118248,0.0,0,290
1974-07-31,39.941806581616476,27.906544384903334,34.76956647709944,4,31.54220462029013,79.96399815331236,0.0,0,281
1974-08-31,25.197398434288672,30.433472091466616,25.757594647144426,4,33.21839322752903,72.92619867314762,0.0,0,250
1974-09-30,31.254679161141333,49.47447741803744,56.91364993388064,6,30.883656892176568,64.25328573022685,0.0,0,250
1974-10-31,29.817401666071945,44.751059574284,55.041565112332364,2,29.690249397178835,78.57111065788271,0.0,0,250
1974-11-30,28.132956611268035,21.981659234664804,59.03988824774079,1,34.810448622544655,73.23621457148849,12.271665313612107,1,268
1974-12-31,32.488356440388095,29.207932189436978,26.99830182677803,5,26.25251231096208,73.11019943692224,0.0,0,300
1975-01-31,36.74239712129085,46.72496444868901,40.71632161294866,7,29.939791491401877,77.38704601984695,0.0,0,316
1975-02-28,29.31901332387717,24.116814398506133,57.81815112158072,8,27.43179980264226,71.01141269082729,0.0,0,339
1975-03-31,37.77801253479894,44.615225126963274,51.60122156311108,4,30.140233698765098,72.11507461041869,0.0,0,360
1975-04-30,29.563344436018397,40.513646026696236,51.35915965128859,6,26.865900968731676,63.764643995380915,0.0,0,337
1975-05-31,29.69496123429212,45.21044532765524,25.6124374895586,6,27.028532387278652,79.96637513141914,0.0,0,333
1975-06-30,39.86937386434765,48.99676755665429,40.425866437949225,1,31.256499129414532,71.61511998111318,0.0,0,288
1975-07-31,20.147049704458027,30.574431408300534,29.413854958751877,2,31.76195746356539,77.17200213964996,0.0,0,280
