Maturity Stage (Days),Initial Moisture Level (%),Temperature (°C),Humidity (%),Current Moisture Level (%),Drying Time (hrs),Estimated Oil Yield (kg)
116,69.7165153958347,26.94115708111223,77.27178884873513,8.0,51.02174996236166,4.6000000000000005
104,62.53139739822295,25.67690898458533,44.384469627141215,8.0,35.07861788566139,4.6000000000000005
91,69.01534567858225,38.76932410128495,58.32596805813613,9.345973331043446,29.834686173769402,4.532701333447828
96,58.74539718937388,39.74744730074154,73.8616567889757,8.0,27.673388972084076,4.6000000000000005
96,66.26158120530256,38.48121639058884,78.15471735616104,8.0,33.955186586436966,4.6000000000000005
99,65.97633376886145,31.53888940340505,53.6965444358132,8.0,33.358513166029915,4.6000000000000005
90,54.45411572319705,26.81256287305837,47.67978959285414,8.0,29.61615222808875,4.6000000000000005
93,62.01737454375076,37.96845788712202,59.49555723395816,8.0,27.261205738834263,4.6000000000000005
103,65.8394011430602,30.55204384253939,42.593787041472645,8.0,30.676330966219744,4.6000000000000005
101,63.951636113176,25.428992191067387,79.97131008381785,8.0,50.04597876535137,4.6000000000000005
110,69.90940983065434,33.81523516416588,76.97784856032985,8.0,40.682746544867136,4.6000000000000005
109,58.86854007507877,38.3911737219161,77.29144430680682,8.0,29.515839942706243,4.6000000000000005
112,53.02417319158652,36.74662616334237,75.0814524359893,8.0,26.820028774545403,4.6000000000000005
116,62.41324647256021,27.43966797034477,65.17098304313295,8.0,39.96749309712961,4.6000000000000005
119,58.46396537464422,33.18278195033097,47.83882118420839,8.0,26.038612618046763,4.6000000000000005
114,67.71873659659073,28.81091353032263,63.64917139641054,8.0,41.22473803833011,4.6000000000000005
90,66.44247230997098,30.7288631797112,62.23962895852918,8.0,37.356515260503166,4.6000000000000005
105,58.69911412866802,27.967979337253997,77.87264954661345,8.0,40.565328143534884,4.6000000000000005
96,60.63442019010654,37.60284337142649,41.418281897484974,15.847597150624402,22.39341151974107,4.207620142468779
108,69.28463014580932,32.00915162361747,76.89990460444164,8.0,42.518384019263394,4.6000000000000005
113,50.212525598828925,35.3895243844763,59.360880187689276,8.0,22.82793654554456,4.6000000000000005
103,55.68075248484359,35.00209628162405,77.31663126929061,8.0,30.350946081474483,4.6000000000000005
97,55.59204731904244,39.63634074643106,41.91279759228182,16.965591257480767,19.313228030780838,4.151720437125962
99,60.9875726294769,39.38290638093018,66.68499986382122,8.0,27.47383846989258,4.6000000000000005
93,65.63164772257545,26.23957553053585,67.50763110979626,8.0,45.16565897824073,4.6000000000000005
109,57.35097318411679,29.09228982340769,47.07875749768296,8.0,28.819077416798226,4.6000000000000005
116,68.8033556799813,30.143601915822806,48.24722446954479,8.0,34.68093051281876,4.6000000000000005
119,63.18108129797322,37.32963374269628,48.650453037680094,12.141910987958703,25.51958515500726,4.392904450602065
94,68.38436374561282,36.86902380066788,47.21651557136509,12.656685287725352,27.863839228943732,4.367165735613733
108,54.16326843694789,31.708064172543892,41.027319193017775,8.0,23.191915656657716,4.6000000000000005
105,50.40069789574762,27.466466985515893,66.22034192595731,8.0,31.397162647084755,4.6000000000000005
105,54.4428823749773,29.70885346881697,76.92047297519295,8.0,34.72186180531413,4.6000000000000005
102,65.21351869921726,30.172270116367336,58.22835921749085,8.0,35.91449749219866,4.6000000000000005
90,62.29995822350695,32.31249783200118,46.46798434532761,8.0,28.3694043320649,4.6000000000000005
94,58.45891175263873,27.159634070810682,76.45203627071191,8.0,41.11287440161016,4.6000000000000005
109,56.31046086630345,27.04753760078676,54.37860142135451,8.0,32.62593521054397,4.6000000000000005
104,53.130465561308455,28.46207426431778,71.73643545084161,8.0,33.78017506432118,4.6000000000000005
115,63.72663872434373,30.80264309781457,66.17769606425429,8.0,36.78202819388132,4.6000000000000005
97,54.92899003620635,36.93774610963426,68.38520926149475,8.0,26.321237918550757,4.6000000000000005
108,53.85233479281091,36.88965826320064,49.88199372059046,10.400104790818801,21.726115000996053,4.47999476045906
91,56.03984759858082,37.013327802762284,40.70189307549895,14.836938197562418,20.6014547005092,4.258153090121879
112,60.71372740692295,28.100694408879196,57.361995061227915,8.0,35.244819944848956,4.6000000000000005
101,58.05343386628248,30.557065715012303,73.82775997326624,8.0,35.49590834985464,4.6000000000000005
117,63.805750737940755,29.165671784385285,53.368787818715155,8.0,34.61261748758927,4.6000000000000005
116,68.75284113248095,30.2219402780538,49.812716781883175,8.0,35.113019290807536,4.6000000000000005
93,54.60968052989284,26.587952046174873,54.292152484624566,8.0,31.994911928989588,4.6000000000000005
93,51.01810364969258,30.000518846396428,48.118004885782064,8.0,24.62120211971957,4.6000000000000005
113,51.563543899340274,34.88694231681859,46.8024042426064,9.256324425336224,21.153609737002025,4.537183778733189
108,50.48597980253815,35.62011119983684,73.07990841231432,8.0,25.690678866054807,4.6000000000000005
104,53.95822885698383,32.46096700786313,65.2191232182845,8.0,28.54726095035133,4.6000000000000005
107,67.47878164562381,35.39482482724031,55.60091963846479,8.0,31.054750588450123,4.6000000000000005
90,59.589447555385185,37.250663874569966,70.44432669271744,8.0,29.191153527666838,4.6000000000000005
95,54.46575581327454,36.76302438647684,65.84385541733369,8.0,25.623168058699626,4.6000000000000005
97,56.88921543182041,25.941581750022106,65.2837021670121,8.0,38.02091622373075,4.6000000000000005
92,62.992369935718415,31.592891033642303,79.44193993163545,8.0,39.42994111267168,4.6000000000000005
102,62.48461707545896,37.416733858787374,47.898656072436324,12.590102419161127,24.947257328148915,4.370494879041944
111,62.80366066177879,39.23140227470229,55.92370699512735,11.014728960001044,25.894465850888874,4.449263551999948
102,64.53778790748855,27.53752484961379,60.595808248042324,8.0,39.7365927859612,4.6000000000000005
97,64.15689476797088,26.125454383904863,61.48077492191486,8.0,41.93505917411982,4.6000000000000005
100,65.69927150836227,32.962753163261624,66.60979965539624,8.0,35.72069905894563,4.6000000000000005
102,61.710247346990755,37.77935046490154,40.17056091453718,16.84237442994222,22.43393645852427,4.157881278502889
101,51.848157045055586,29.497987569531553,54.00618238769204,8.0,27.05553714274318,4.6000000000000005
118,67.48154369229144,32.01232064504653,67.92568259725331,8.0,38.34524528648971,4.6000000000000005
101,51.558065912595225,33.92370217664953,45.61900011534303,8.58685537839844,21.485605267098393,4.570657231080078
113,61.88075664768238,36.612315375419804,75.6418624862025,8.0,32.35779397980863,4.6000000000000005
109,56.23741871907511,28.124570456309215,59.67575891019236,8.0,32.91901701993394,4.6000000000000005
113,59.252074800030826,35.51045768588804,72.60189063543415,8.0,30.96637705671359,4.6000000000000005
105,67.76192304727095,33.13344597389182,50.23503789814386,8.0,31.638476709911977,4.6000000000000005
115,67.68090244460303,30.14578699165798,54.263652136309844,8.0,36.12266116465078,4.6000000000000005
114,68.00887334308266,25.698568548716835,78.68390330966008,8.0,52.58583983242839,4.6000000000000005
99,58.25956748892507,25.420869233981325,78.90973297510766,8.0,44.60177143595374,4.6000000000000005
114,62.18438442220989,28.619998033904835,66.13825515996959,8.0,38.47847839979163,4.6000000000000005
94,56.32309530616317,38.26792040589185,69.11606537235919,8.0,26.322568896494165,4.6000000000000005
